match_score,resume_text,skills_found,missing_skills
0.773027970265785,"Experienced in python, machine learning, pandas.","['machine learning', 'pandas', 'python']","['data visualization', 'deep learning', 'feature engineering', 'model evaluation', 'numpy', 'sql', 'statistics']"
0.5637244814647373,"Experienced in python, machine learning, statistics.","['machine learning', 'python', 'statistics']","['data visualization', 'deep learning', 'feature engineering', 'model evaluation', 'numpy', 'pandas', 'sql']"
0.5637244814647373,"Experienced in python, machine learning, statistics.","['machine learning', 'python', 'statistics']","['data visualization', 'deep learning', 'feature engineering', 'model evaluation', 'numpy', 'pandas', 'sql']"
0.5631597544275316,"Experienced in pandas, python, machine learning.","['machine learning', 'pandas', 'python']","['data visualization', 'deep learning', 'feature engineering', 'model evaluation', 'numpy', 'sql', 'statistics']"
0.46315422905040976,"Experienced in python, data analysis, machine learning.","['machine learning', 'python']","['data visualization', 'deep learning', 'feature engineering', 'model evaluation', 'numpy', 'pandas', 'sql', 'statistics']"
0.46315422905040976,"Experienced in python, data analysis, machine learning.","['machine learning', 'python']","['data visualization', 'deep learning', 'feature engineering', 'model evaluation', 'numpy', 'pandas', 'sql', 'statistics']"
0.4568935366930438,"Experienced in pandas, machine learning, data analysis.","['machine learning', 'pandas']","['data visualization', 'deep learning', 'feature engineering', 'model evaluation', 'numpy', 'python', 'sql', 'statistics']"
0.4568935366930438,"Experienced in pandas, data analysis, machine learning.","['machine learning', 'pandas']","['data visualization', 'deep learning', 'feature engineering', 'model evaluation', 'numpy', 'python', 'sql', 'statistics']"
0.4568935366930438,"Experienced in pandas, machine learning, data analysis.","['machine learning', 'pandas']","['data visualization', 'deep learning', 'feature engineering', 'model evaluation', 'numpy', 'python', 'sql', 'statistics']"
0.4500059127560428,"Experienced in machine learning, python, data analysis.","['machine learning', 'python']","['data visualization', 'deep learning', 'feature engineering', 'model evaluation', 'numpy', 'pandas', 'sql', 'statistics']"
