resume_text,job_title,suitability_score
"Experienced in machine learning, data analysis, statistics.",Data Scientist,0.37
"Experienced in roadmap, agile, stakeholders.",Product Manager,0.11
"Experienced in stakeholders, roadmap, market research.",Product Manager,0.32
"Experienced in agile, MVP, stakeholders.",Product Manager,0.9
"Experienced in python, pandas, statistics.",Data Scientist,0.11
"Experienced in SEO, content, campaign.",Marketing Manager,0.42
"Experienced in market research, roadmap, stakeholders.",Product Manager,0.56
"Experienced in recruitment, HR software, training.",HR Specialist,0.93
"Experienced in MVP, roadmap, agile.",Product Manager,0.89
"Experienced in python, machine learning, statistics.",Data Scientist,0.32
"Experienced in campaign, branding, content.",Marketing Manager,0.13
"Experienced in statistics, python, data analysis.",Data Scientist,0.58
"Experienced in HR software, employee relations, communication.",HR Specialist,0.88
"Experienced in python, machine learning, statistics.",Data Scientist,0.53
"Experienced in market research, MVP, stakeholders.",Product Manager,0.94
"Experienced in employee relations, HR software, recruitment.",HR Specialist,0.28
"Experienced in content, analytics, branding.",Marketing Manager,0.61
"Experienced in backend, git, java.",Software Engineer,0.93
"Experienced in algorithms, git, system design.",Software Engineer,0.19
"Experienced in communication, HR software, training.",HR Specialist,0.51
"Experienced in statistics, data analysis, pandas.",Data Scientist,0.65
"Experienced in git, java, system design.",Software Engineer,0.63
"Experienced in MVP, roadmap, market research.",Product Manager,0.32
"Experienced in MVP, stakeholders, agile.",Product Manager,0.77
"Experienced in roadmap, market research, MVP.",Product Manager,0.46
"Experienced in campaign, SEO, analytics.",Marketing Manager,0.97
"Experienced in pandas, machine learning, data analysis.",Data Scientist,0.56
"Experienced in communication, employee relations, training.",HR Specialist,0.8
"Experienced in backend, algorithms, system design.",Software Engineer,1.0
"Experienced in analytics, content, SEO.",Marketing Manager,0.03
"Experienced in statistics, python, data analysis.",Data Scientist,0.04
"Experienced in python, machine learning, pandas.",Data Scientist,0.54
"Experienced in system design, git, java.",Software Engineer,0.86
"Experienced in stakeholders, agile, roadmap.",Product Manager,0.9
"Experienced in java, backend, system design.",Software Engineer,0.71
"Experienced in recruitment, communication, training.",HR Specialist,0.67
"Experienced in python, statistics, machine learning.",Data Scientist,0.57
"Experienced in system design, git, java.",Software Engineer,0.54
"Experienced in roadmap, stakeholders, market research.",Product Manager,0.92
"Experienced in python, statistics, pandas.",Data Scientist,0.61
"Experienced in recruitment, employee relations, training.",HR Specialist,0.2
"Experienced in HR software, training, communication.",HR Specialist,1.0
"Experienced in agile, MVP, roadmap.",Product Manager,0.48
"Experienced in stakeholders, roadmap, market research.",Product Manager,0.53
"Experienced in communication, employee relations, recruitment.",HR Specialist,0.54
"Experienced in java, backend, system design.",Software Engineer,0.7
"Experienced in MVP, roadmap, market research.",Product Manager,0.33
"Experienced in stakeholders, market research, MVP.",Product Manager,0.36
"Experienced in system design, git, java.",Software Engineer,0.65
"Experienced in SEO, content, campaign.",Marketing Manager,0.78
"Experienced in machine learning, python, data analysis.",Data Scientist,0.47
"Experienced in python, data analysis, statistics.",Data Scientist,0.42
"Experienced in content, SEO, branding.",Marketing Manager,0.65
"Experienced in python, data analysis, machine learning.",Data Scientist,0.87
"Experienced in system design, backend, git.",Software Engineer,0.17
"Experienced in content, analytics, campaign.",Marketing Manager,0.92
"Experienced in pandas, data analysis, machine learning.",Data Scientist,0.39
"Experienced in campaign, analytics, branding.",Marketing Manager,0.78
"Experienced in machine learning, python, data analysis.",Data Scientist,0.18
"Experienced in MVP, agile, roadmap.",Product Manager,0.18
"Experienced in data analysis, python, statistics.",Data Scientist,0.05
"Experienced in agile, MVP, roadmap.",Product Manager,0.99
"Experienced in git, java, backend.",Software Engineer,0.67
"Experienced in employee relations, HR software, recruitment.",HR Specialist,0.55
"Experienced in pandas, python, machine learning.",Data Scientist,0.73
"Experienced in campaign, content, SEO.",Marketing Manager,0.7
"Experienced in SEO, branding, campaign.",Marketing Manager,0.7
"Experienced in market research, roadmap, agile.",Product Manager,0.63
"Experienced in market research, roadmap, agile.",Product Manager,0.67
"Experienced in analytics, SEO, campaign.",Marketing Manager,0.6
"Experienced in pandas, machine learning, data analysis.",Data Scientist,0.77
"Experienced in system design, git, java.",Software Engineer,0.96
"Experienced in market research, roadmap, stakeholders.",Product Manager,0.75
"Experienced in HR software, training, communication.",HR Specialist,0.06
"Experienced in training, employee relations, HR software.",HR Specialist,0.7
"Experienced in data analysis, statistics, machine learning.",Data Scientist,0.79
"Experienced in analytics, content, campaign.",Marketing Manager,0.76
"Experienced in java, system design, git.",Software Engineer,0.81
"Experienced in python, data analysis, machine learning.",Data Scientist,0.57
"Experienced in python, pandas, data analysis.",Data Scientist,0.54
"Experienced in communication, employee relations, HR software.",HR Specialist,0.75
"Experienced in algorithms, java, git.",Software Engineer,0.61
"Experienced in agile, roadmap, market research.",Product Manager,0.42
"Experienced in employee relations, training, HR software.",HR Specialist,0.78
"Experienced in analytics, content, branding.",Marketing Manager,0.58
"Experienced in training, HR software, recruitment.",HR Specialist,0.64
"Experienced in agile, MVP, stakeholders.",Product Manager,0.86
"Experienced in system design, backend, algorithms.",Software Engineer,0.54
"Experienced in algorithms, git, system design.",Software Engineer,0.11
"Experienced in training, HR software, communication.",HR Specialist,0.53
"Experienced in training, recruitment, HR software.",HR Specialist,0.5
"Experienced in branding, analytics, campaign.",Marketing Manager,0.87
"Experienced in MVP, agile, roadmap.",Product Manager,0.24
"Experienced in HR software, training, communication.",HR Specialist,0.23
"Experienced in backend, java, algorithms.",Software Engineer,0.83
"Experienced in pandas, python, statistics.",Data Scientist,0.13
"Experienced in campaign, analytics, content.",Marketing Manager,0.94
"Experienced in analytics, branding, SEO.",Marketing Manager,0.87
"Experienced in data analysis, python, statistics.",Data Scientist,0.48
"Experienced in machine learning, python, statistics.",Data Scientist,0.81
